Date,Open,High,Low,Close,Volume
2022-01-26,38.80647448202999,39.182408964698844,37.50780179775283,38.27675247192383,9085900
2022-01-27,38.815019963396836,39.18240870030079,37.430906151832,37.78974914550781,6219300
2022-01-28,37.74702618832784,38.020431276090406,36.93535340811272,37.99480056762695,6438900
2022-01-31,37.78973850000606,38.302375394162006,37.07204945558387,38.13149642944336,8487000
2022-02-01,38.063151314517725,39.327650696926135,37.90081805746217,39.250755310058594,7512400
2022-02-02,39.1311459479451,39.994083538751646,38.994443382769816,39.87446594238281,5988500
2022-02-03,40.00261686773008,40.53233877914072,39.37891135316284,39.455806732177734,5592200
2022-02-04,39.67794191032509,40.65195100285763,39.63522298521065,40.446895599365234,6470300
2022-02-07,40.52379455981979,41.44653580920378,40.2674777271712,41.284202575683594,6679100
2022-02-08,41.71139854019698,42.39491118291467,41.60887245860067,42.29238510131836,6839200
2022-02-09,42.1813176233274,42.497444901284474,41.942088988545365,42.02752685546875,3807300
2022-02-10,42.138595195965145,42.83065359394741,41.78829475583113,41.967716217041016,5784200
2022-02-11,41.45507974608453,42.565788145378676,41.181674701927356,41.47216796875,5815300
2022-02-14,41.70285073323012,41.94207931282393,40.788652079216696,41.20730209350586,6695700
2022-02-15,41.62596292951405,42.27529916034302,41.60887470511782,42.18986129760742,3765100
2022-02-16,41.83956099977722,42.69395266726382,41.63450556551239,42.30093002319336,3690300
2022-02-17,41.89082687223518,41.99335622990229,40.993716177746336,41.17313766479492,4378400
2022-02-18,41.09623028473233,41.59177892445659,40.91680885003697,41.20730209350586,6053200
2022-02-22,40.96808156241961,41.65159425214414,40.788660092475475,41.29275131225586,6662100
2022-02-23,41.531973083962775,41.71139452429326,40.11368326465715,40.3016471862793,8189700
2022-02-24,38.66121610652609,39.259290819691515,37.661579597049084,39.096954345703125,9082900
2022-02-25,39.53269980621299,41.16458763527365,39.33619012890933,41.08769226074219,7910900
2022-02-28,40.6434173707049,41.0535250406232,40.079518917161494,40.87410354614258,7889200
2022-03-01,40.412720179744696,40.609229847647256,37.72993119992996,37.98624801635742,7883800
2022-03-02,38.69539582488435,39.63522526852412,38.4219907773075,39.361820220947266,8510700
2022-03-03,39.45580826100857,39.780478013790116,39.01152419384583,39.55833435058594,4820400
2022-03-04,38.63559261603102,38.69539977258715,37.499250122973365,38.063148498535156,6965000
2022-03-07,37.806828494462195,38.01188391358484,35.85027093817962,35.86735916137695,8053700
2022-03-08,36.106593819451916,37.07205740682726,35.49997646087586,35.850276947021484,10090600
2022-03-09,37.13185943854753,38.7979237680426,36.96952620225909,38.22548294067383,8115800
2022-03-10,37.772647946165414,38.5586898316562,37.45652399945742,38.003334045410156,5723800
2022-03-11,38.33654710630039,39.02005967966001,37.55905094299537,37.59322738647461,6013300
2022-03-14,38.41344680067735,39.79756358426224,38.23402534107222,39.17385482788086,6822100
2022-03-15,39.31910260683286,39.677945521547706,38.49888743670289,39.12259292602539,7080400
2022-03-16,39.65231588718261,40.74593614356617,39.583966250781366,40.58360290527344,7007600
2022-03-17,39.917179351782096,40.045336145085884,39.088418399586395,39.94281005859375,8777800
2022-03-18,39.90863256588355,40.07096906276487,38.69539800627286,39.891544342041016,12154000
2022-03-21,40.139321090257205,40.515252259453284,39.361824784951345,39.703582763671875,4767700
2022-03-22,40.156409588576736,41.036431989793314,40.05388349796064,40.506710052490234,5956700
2022-03-23,40.070961236182455,40.250382662616616,38.85772365429354,39.028602600097656,5929500
2022-03-24,39.35327954673139,39.48998207679893,38.83210013233472,39.17385482788086,5306100
2022-03-25,39.32764566727694,40.06242299020749,39.16531243098233,39.951351165771484,5510100
2022-03-28,39.5583336830505,39.601052614716394,38.3280108511466,39.13113784790039,6335600
2022-03-29,39.98553309656468,40.17350032381077,39.0713341882701,39.421634674072266,5829000
2022-03-30,39.481828778393805,39.52482728249391,37.83926098939535,38.080055236816406,5780300
2022-03-31,37.976859816388696,38.48425006013643,36.97068099843131,37.01367950439453,7651900
2022-04-01,37.572663822220264,37.68446255379169,35.74950040553667,35.947296142578125,8393700
2022-04-04,35.69790162734613,36.0332978351523,34.906718648297165,35.83549880981445,6372600
2022-04-05,35.59470472705696,36.0590964502746,35.371110534716394,35.45710754394531,4755000
2022-04-06,35.31091143685536,35.551705683506576,34.96691684400314,35.24211120605469,7166500
2022-04-07,35.113117627788945,35.30231171175827,34.106935520661494,34.7777214050293,6715800
2022-04-08,34.89811999473495,35.15611429983268,34.5971239049746,34.872318267822266,4278500
2022-04-11,34.90671767904641,35.6721021903101,34.56272309213945,34.82072067260742,3801800
2022-04-12,34.87231775761003,35.3711095833334,33.89193744423709,34.08113479614258,5726000
2022-04-13,33.81453636284921,34.19292775852395,33.58234052439814,33.97793197631836,5103800
2022-04-14,34.0037403075547,34.261734640212026,33.436151463478225,33.54794692993164,5266700
2022-04-18,33.51354751439853,33.87473889623075,33.28995003753277,33.599544525146484,8621700
2022-04-19,33.608142106661326,35.50870402596828,33.608142106661326,35.078712463378906,9287400
